CATINIC;CATFIM;DESCRICAO;DESCRABREV;
Y40;Y59;Efeitos adversos de drogas, medicamentos e substâncias biológicas usadas com finalidade terapêutica;Ef advers drog, medic e subst biológ finalid terap;
Y60;Y69;Acidentes ocorridos em pacientes durante a prestação de cuidados médicos e cirúrgicos;Acid ocorr pacientes prest cuid médicos e cirúrg;
Y70;Y82;Incidentes adversos durante atos diagnósticos ou terapêuticos associados ao uso de dispositivos (aparelhos) médicos;Incid advers atos diagn terap assoc disposit médic;
Y83;Y84;Reação anormal em paciente ou complicação tardia causadas por procedimentos cirúrgicos e outros procedimentos médicos sem menção de acidente ao tempo do procedimento;Reaç anorm compl tard proc cirúrg méd s/menç acid;
Y85;Y89;Seqüelas de causas externas de morbidade e de mortalidade;Seqüelas causas externas de morbidade e mortalidad;
Y90;Y98;Fatores suplementares relacionados com as causas de morbidade e de mortalidade classificados em outra parte;Fatores supl relac causas de morbid e mortalid COP;
Z00;Z13;Pessoas em contato com os serviços de saúde para exame e investigação;Pessoas contato serv saúde p/exame e investigação;
Z20;Z29;Pessoas com riscos potenciais à saúde relacionados com doenças transmissíveis;Pessoas c/riscos potenc saúde relac doenças transm;
Z30;Z39;Pessoas em contato com os serviços de saúde em circunstâncias relacionadas com a reprodução;Pessoas contato serv saúde circunst relac reprod;
Z40;Z54;Pessoas em contato com os serviços de saúde para procedimentos e cuidados específicos;Pessoas contato serv saúde proced e cuidados espec;
Z55;Z65;Pessoas com riscos potenciais à saúde relacionados com circunstâncias socioeconômicas e psicossociais;Pessoas c/risc potenc saúde relac circ socio psico;
Z70;Z76;Pessoas em contato com os serviços de saúde em outras circunstâncias;Pessoas em contato com serv saúde outras circunst;
Z80;Z99;Pessoas com riscos potenciais à saúde relacionados com história familiar e pessoal e algumas afecções que influenciam o estado de saúde;Pess risc pot saúde hist fam pes afecç q infl saúd;
U04;U04;Designação provisória de novas doenças de etiologia incerta;Designação prov novas doenças de etiologia incerta;
U80;U89;Agentes bacterianos resistentes a antibióticos;Agentes bacterianos resistentes a antibióticos;
